li	اللي
grazzi	جرادزي
uquuuuu	أأو
jkunux	يكونوش
kontu	كنتوا
lilek	لك
erbgħa	اربعة
erbgħin	اربعين
mija	مية
sitta	ستة
sittax-il	ستتعشل
tmenin	ثمانين
raba'	ربع
tmienja	ثمانية
mejtin	ميتين
nieqes	ناقص
telgħin	طالعين
tiela'	طالع
maġenb	من جنب
biċ-	بال+
bix-	بال+
sad-	سال+
bik	بك
fuqi	فوقي
għalik	عليك
miegħek	معك
minni	مني
humiex	هماش
għadni	عنَدني
għandekx	عندكش
għandhiex	عندهاش
ilni	الني
kellix	كان ليش
illi	اللي
anzi	اندزي
ħeqq	حق
jalla	يلا
prosit	برست
qaħbeċ	قحبة
liċ-	لل+
lid-	لل+
lir-	لل+
lix-	لل+
liz-	لل+
lilkom	لكم
disgħa	تسعة
erbatax-il	اربعتعشل
ħmistax-il	خمستعشل
mitt	مية
tletin	ثلاثين
tnax-il	اثناعشل
tużżana	دزينة
għaxar	عشر
dieħel	داخل
imsiefer	مسافر
liebes	لابس
liebsa	لابسة
mejta	ميتة
mexjin	ماشيين
neqsin	ناقصين
niexef	ناشف
weqfin	واقفين
xieraq	شارق
biswit	باسوة
permezz	برمدز
bħal-	بحال ال+
bħan-	بحال ال+
man-	من ال+
maż-	من ال+
bħalhom	بحالهم
dwaru	دواره
fuqek	فوقك
ħdejja	حديا
lejk	ليك
maġenbu	من جنبه
mingħajru	من غيره
minnek	منك
dis-	دال+
imkien	مكان
għala	على
intom	انتم
nfisha	نفسها
kwalunkwe	كوالنكوي
wisq	وسق
għadek	عنَدَك
ilna	النا
jkollniex	يكون لناش
jkollok	يكون لك
kellhomx	كان لهمش
qisna	قيسنا
qisni	قيسني
avolja	افوليا
ġaladarba	جا لاداربا
z-	ال+
tagħkom	تاعكم
allaħares	الله حارس
eċċetra	اتشترا
ħej	هي
imnalla	من الله
istja	استيا
ja	يا
ikunx	يكونش
kenitx	كانتش
kienux	كانوش
kinetx	كانتش
nkunux	نكونوش
tkunu	تكونوا
lil-	لل+
lilhom	لهم
lilna	لنا
ħmistax	خمستعش
miljun	مليون
tlett	ثلاث
tmien	ثمان
nofsu	نفصه
sebgħa	سبعة
deħlin	داخلين
ħerġin	خارجين
ħieles	خالص
ħielsa	خالصة
ħirġin	خارجين
kiefer	كافر
lebsin	لابسين
msiefra	مسافرة
niżlin	نازلين
resqin	رسقن
sejra	سايرة
apparti	ابارتي
qis	قيس
bħat-	بحال ال+
bħax-	بحال ال+
bin-	بال+
għaċ-	على ال+
maċ-	من ال+
max-	من ال+
miċ-	من ال+
miż-	من ال+
sat-	سال+
bħali	بحالي
bina	بنا
dwarhom	دوارهم
fija	فيا
fik	فيك
fina	فينا
lejkom	ليكم
lejna	لينا
madwarha	مدوارها
maġenbi	من جنبي
minfloku	من فلوكه
mingħalina	من علينا
quddiemha	قدامها
quddiemhom	قدامهم
quddiemna	قدامنا
taħtha	تحتها
taħthom	تحتهم
taħtu	تحته
warajk	وراك
warajna	ورانا
dar-	دال+
das-	دال+
did-	دال+
mkien	مكان
hix	هيش
intix	انتيش
hijiex	هياش
mhi	ماهي
mhu	ماهو
mhuma	ماهما
infushom	انفسهم
innifsek	انفسك
nfusna	نفسنا
nnifsi	نفسي
ruħi	روحي
għadx	عنَدش
għandkom	عندكم
ilek	الك
jisimha	يسمها
l'	اللي
pero'	برو
għalhekk	على هيك
kulmeta	كل متى
minnflok	من فلوك
il	ال+
l-	ال+
inqas	انقص
talanqas	تاع الانقص
tal-	تاع ال+
tieghi	تاعي
haw	هو
mhemmx	ماهمش
addio	ادو
baħħ	بح
ċaw	تشاو
eh	اه
ehm	اهم
ħeħħ	حح
ħmm	همم
illostja	الاستيا
imn'alla	من الله
j'	يا
jaħasra	يا حسرة
listja	الاستيا
lustja	الاستيا
merħba	مرحبا
orrajt	اورايت
owkej	اوكي
smajtek	سمعتك
tikk	تك
viva	فيفا
ġabitha	جابتها
ikunux	يكونش
kienlu	كان له
konniex	كناش
liż-	لل+
la	لا
disgħin	تسعين
dsatax	تسعتعش
dsatax-il	تسعتعشل
elfejn	الفين
għaxart	عشرة
għaxra	عشرة
ħamest	خمسة
ħamsin	خمسين
ħdax	احداعش
sbatax-il	سبعتشل
sebgħin	سبعين
sittax	ستتعش
tlettax-il	ثلاثتعشل
tmint'	ثمانية
żewg	زوج
kwart	كوارت
terz	تردز
disa'	تسع
acting	اكتنج
bieżel	بازل
għaddejin	عدايين
għarqanin	عرقانين
għarwenin	عريانين
imdawrin	مدورين
libsin	لابسين
neżlin	نازلين
niedi	نادي
nieżel	نازل
nieżla	نازلة
rieqed	راقد
sejjer	ساير
tielgħa	طالعة
wieqfa	واقفة
wisgħin	واسعين
żejjen	زين
bi	ب+
bi-	ب+
dment	دمنت
f'	في
favuriha	ففرها
għajr	غير
għal	على
inkluża	انكلوزا
inklużi	انكلوزي
jifhimhom	يفهمهم
qalb	قلب
wara	ورا
bħar-	بحال ال+
fiz-	في ال+
ghat-	على ال+
ġos-	جوا ال+
ġoż-	جوا ال+
saċ-	سال+
sas-	سال+
sax-	سال+
bejnha	بينها
bħalek	بحالك
bħalha	بحالها
bħalna	بحالنا
bikom	بيكم
fuqħa	فوقها
ħdejna	حدينا
ħliefu	خلافه
kontrieh	كونتراه
kontrihom	كونترهم
kontrik	كونترك
lejħ	ليه
lejja	ليا
madwarhom	مدوارهم
madwari	مدواري
madwarkom	مدواركم
madwarna	مدوارنا
maġenbkom	من جنبكم
maġenbna	من جنبنا
minflokhom	من فلوكهم
minfloki	من فلوكي
mingħajrhom	من غيرهم
mingħajri	من غيري
mingħalih	من عليه
mingħalija	من علي
mingħandha	من عندنا
mingħandhom	من عتدهم
mingħandi	من عندي
mingħandu	من عنده
minnkom	منكم
qabilha	قبلها
qabilna	قبلنا
quddiemi	قدامي
skontha	سكنتها
skontu	سكنته
taħtna	تحتنا
warajja	وراي
kiegħed	قاعد
daż-	دال+
dit-	دال+
kul	كل
fej	في
fejnha	فينها
għalxiex	على شاش
kermm	كرم
kulmin	كل من
xinhu	شنهو
jagħmluhiex	يعملوهاش
inhiex	انهاش
nifsek	نفسك
nifsi	نفسي
nnifisha	نفسها
ruħek	روحك
ruħkom	روحكم
ruħna	روحنا
rwiehhom	ارواحهم
ċerti	تشرتي
ċertu	تشرتو
kollħa	كلها
biħsiebek	بحسابك
donni	ظني
faqqajt	فقيت
fiħsiebha	فحسابها
fiħsiebhom	فحسابهم
ftaħt	فتحت
għadhomx	عنَدهُمش
għadkom	عنَدكُم
għadniex	عنَدناش
għadnix	عنَدنِش
għadux	عنَدُش
għandhix	عندهاش
ħriġna	خرجنا
ikolli	يكون لي
ikollkom	يكون لكم
ikollok	يكون لك
jisimni	يسمني
jkollhomx	يكون لهمش
kellekx	كان لكش
nissuġġerilu	نسجر له
qisek	قيسك
sta	ستا
taghom	تاعهم
tbiegħdek	تباعدك
